"","city","year","origintime","magnitude","depth"
"273","Canterbury","2011",2011-12-23 02:18:03,5.9,7.4865
"274","Canterbury","2011",2011-12-23 01:50:25,4.067,9.5686
"275","Canterbury","2011",2011-12-23 01:41:39,4.37,6.9179
"276","Canterbury","2011",2011-12-23 01:30:27,4.4,9.3022
"277","Canterbury","2011",2011-12-23 01:14:58,4.086,8.5276
"278","Canterbury","2011",2011-12-23 01:11:23,4.535,8.0818
"279","Canterbury","2011",2011-12-23 01:07:51,4.704,7.4752
"280","Canterbury","2011",2011-12-23 01:07:20,4.537,12.3875
"281","Canterbury","2011",2011-12-23 01:06:26,5.4,7.4785
"282","Canterbury","2011",2011-12-23 01:02:57,4.281,9.2805
"283","Canterbury","2011",2011-12-23 01:00:53,5,7.7364
"284","Canterbury","2011",2011-12-23 01:00:50,4.053,5
"285","Canterbury","2011",2011-12-23 01:00:25,4.291,9.1263
"286","Canterbury","2011",2011-12-23 00:59:58,4.463,7.8092
"287","Canterbury","2011",2011-12-23 00:58:38,5.8,10.0147
"288","Canterbury","2011",2011-10-09 07:34:41,4.9,8.0863
"289","Canterbury","2011",2011-10-08 03:17:48,4.6,7.1827
"290","Canterbury","2011",2011-09-10 23:19:09,4.3,10.2324
"291","Canterbury","2011",2011-09-01 15:29:51,4.6,9.4811
"292","Canterbury","2011",2011-08-31 01:30:51,4.3,8.7441
"293","Canterbury","2011",2011-08-22 08:36:34,4,9.4595
"294","Canterbury","2011",2011-08-03 15:08:36,4,8.1904
"295","Canterbury","2011",2011-07-23 00:33:37,4,11.3489
"296","Canterbury","2011",2011-07-21 17:39:32,4.7,12.1836
"297","Canterbury","2011",2011-07-07 06:39:01,4.1,10.2792
"298","Canterbury","2011",2011-06-26 13:20:42,4.33,6.4994
"299","Canterbury","2011",2011-06-24 04:49:51,4.183,6.0991
"300","Canterbury","2011",2011-06-21 15:28:08,4.1,8.9825
"301","Canterbury","2011",2011-06-21 10:38:05,4.3,7.1741
"302","Canterbury","2011",2011-06-21 10:34:22,5.2,8.8226
"303","Canterbury","2011",2011-06-18 08:27:09,4.026,5
"304","Canterbury","2011",2011-06-17 18:50:50,4.1,5.5953
"305","Canterbury","2011",2011-06-17 04:21:57,4.2,8.7107
"306","Canterbury","2011",2011-06-17 02:39:11,4.3,5.3026
"307","Canterbury","2011",2011-06-16 18:37:27,4.1,9.5828
"308","Canterbury","2011",2011-06-15 02:27:08,4,5
"309","Canterbury","2011",2011-06-15 01:03:42,4.6,5
"310","Canterbury","2011",2011-06-14 18:32:02,4.165,6.2328
"311","Canterbury","2011",2011-06-14 18:27:24,4.8,5
"312","Canterbury","2011",2011-06-14 04:16:25,4.5,5
"313","Canterbury","2011",2011-06-13 14:48:08,4.2,5.7152
"314","Canterbury","2011",2011-06-13 02:54:08,4.095,5.7693
"315","Canterbury","2011",2011-06-13 02:45:45,4.033,5.0117
"316","Canterbury","2011",2011-06-13 02:40:41,4.389,5
"317","Canterbury","2011",2011-06-13 02:40:30,4.691,4.1828
"318","Canterbury","2011",2011-06-13 02:30:00,4.267,4.2511
"319","Canterbury","2011",2011-06-13 02:29:51,4.081,8.107
"320","Canterbury","2011",2011-06-13 02:27:45,4.323,5
"321","Canterbury","2011",2011-06-13 02:26:41,4.042,6.8356
"322","Canterbury","2011",2011-06-13 02:23:53,4.087,5
"323","Canterbury","2011",2011-06-13 02:23:40,4.711,5.1119
"324","Canterbury","2011",2011-06-13 02:23:23,4.169,7.5793
"325","Canterbury","2011",2011-06-13 02:23:19,4.042,9.2704
"326","Canterbury","2011",2011-06-13 02:22:43,4.843,5
"327","Canterbury","2011",2011-06-13 02:21:48,4.739,6.8412
"328","Canterbury","2011",2011-06-13 02:21:44,4.556,5
"329","Canterbury","2011",2011-06-13 02:21:23,5.214,10.2798
"330","Canterbury","2011",2011-06-13 02:20:49,6,6.916
"331","Canterbury","2011",2011-06-13 01:08:32,4.395,6.4438
"332","Canterbury","2011",2011-06-13 01:01:00,5.3,8.8973
"333","Canterbury","2011",2011-06-13 00:29:44,4,7.3534
"334","Canterbury","2011",2011-06-06 05:04:19,4.1,8.847
"335","Canterbury","2011",2011-06-05 21:09:55,5.1,9.0015
"336","Canterbury","2011",2011-05-09 21:09:19,4.038,12
"337","Canterbury","2011",2011-05-09 15:04:23,4.9,12
"338","Canterbury","2011",2011-04-29 19:08:04,4.9,10.7218
"339","Canterbury","2011",2011-04-26 10:07:46,4.042,7.1036
"340","Canterbury","2011",2011-04-16 05:49:22,5,8.9584
"341","Canterbury","2011",2011-03-20 08:47:40,4.5,11.649
"342","Canterbury","2011",2011-03-20 00:39:22,4.39,5
"343","Canterbury","2011",2011-03-20 00:34:58,4.228,5
"344","Canterbury","2011",2011-03-20 00:33:54,4,5
"345","Canterbury","2011",2011-03-20 00:10:22,4.3,5
"346","Canterbury","2011",2011-03-13 16:14:14,4.2,8.3457
"347","Canterbury","2011",2011-03-12 05:54:48,4.058,8.4982
"348","Canterbury","2011",2011-03-11 13:37:10,4.118,9.3268
"349","Canterbury","2011",2011-03-10 07:07:11,4.3,7.4801
"350","Canterbury","2011",2011-03-06 03:43:33,4.7,19.7438
"351","Canterbury","2011",2011-03-05 06:34:02,4.6,9.7479
"352","Canterbury","2011",2011-03-04 21:49:06,4.087,4.4688
"353","Canterbury","2011",2011-03-01 09:42:08,4.1,8.9153
"354","Canterbury","2011",2011-02-28 20:10:13,4.1,6.345
"355","Canterbury","2011",2011-02-27 21:35:43,4,9.1005
"356","Canterbury","2011",2011-02-25 04:40:11,4.2,6.7636
"357","Canterbury","2011",2011-02-24 05:51:33,4.017,6.1681
"358","Canterbury","2011",2011-02-23 20:46:47,4.161,4.1952
"359","Canterbury","2011",2011-02-23 20:44:33,4.3,6.342
"360","Canterbury","2011",2011-02-23 05:39:42,4.044,11.3343
"361","Canterbury","2011",2011-02-23 00:59:17,4,4.4873
"362","Canterbury","2011",2011-02-22 19:30:20,4.2,4.748
"363","Canterbury","2011",2011-02-22 17:01:02,4.047,5
"364","Canterbury","2011",2011-02-22 17:00:20,4.3,5.9659
"365","Canterbury","2011",2011-02-22 14:30:15,4.2,3.4078
"366","Canterbury","2011",2011-02-22 14:04:39,4.2,5
"367","Canterbury","2011",2011-02-22 11:49:21,4,3.9888
"368","Canterbury","2011",2011-02-22 11:02:16,4.1,10.791
"369","Canterbury","2011",2011-02-22 08:38:32,4.007,5
"370","Canterbury","2011",2011-02-22 08:21:06,4.3,8.1692
"371","Canterbury","2011",2011-02-22 06:43:32,4.4,7.3367
"372","Canterbury","2011",2011-02-22 06:28:29,4.4,5.7582
"373","Canterbury","2011",2011-02-22 05:59:36,4.3,8.3358
"374","Canterbury","2011",2011-02-22 05:03:11,4,7.9072
"375","Canterbury","2011",2011-02-22 04:19:06,4.2,5.2894
"376","Canterbury","2011",2011-02-22 03:46:54,4.074,7.2607
"377","Canterbury","2011",2011-02-22 03:24:04,4,5
"378","Canterbury","2011",2011-02-22 03:04:09,4.5,4.5453
"379","Canterbury","2011",2011-02-22 02:48:18,4.1,9.6148
"380","Canterbury","2011",2011-02-22 02:43:02,4.1,7.3556
"381","Canterbury","2011",2011-02-22 02:21:42,4.175,2.8442
"382","Canterbury","2011",2011-02-22 01:57:50,4.064,5.1459
"383","Canterbury","2011",2011-02-22 01:55:38,4.336,6.0496
"384","Canterbury","2011",2011-02-22 01:52:37,4.218,3.867
"385","Canterbury","2011",2011-02-22 01:52:12,4.441,9.0167
"386","Canterbury","2011",2011-02-22 01:51:09,4.982,6.9534
"387","Canterbury","2011",2011-02-22 01:51:05,4.354,3.7019
"388","Canterbury","2011",2011-02-22 01:50:29,5.6,6.6227
"389","Canterbury","2011",2011-02-22 01:39:59,4,7.8362
"390","Canterbury","2011",2011-02-22 01:20:56,4.497,8.6305
"391","Canterbury","2011",2011-02-22 01:20:09,4.4,6.5673
"392","Canterbury","2011",2011-02-22 01:15:54,4.3,4.9512
"393","Canterbury","2011",2011-02-22 00:46:38,4.289,6.5891
"394","Canterbury","2011",2011-02-22 00:32:25,4.205,5.3726
"395","Canterbury","2011",2011-02-22 00:31:05,4.107,9.557
"396","Canterbury","2011",2011-02-22 00:23:01,4.305,6.6392
"397","Canterbury","2011",2011-02-22 00:21:25,4.091,7.5844
"398","Canterbury","2011",2011-02-22 00:10:46,4.034,6.2726
"399","Canterbury","2011",2011-02-22 00:08:15,4.681,7.3931
"400","Canterbury","2011",2011-02-22 00:07:47,4.336,5
"401","Canterbury","2011",2011-02-22 00:06:56,4.364,7.0946
"402","Canterbury","2011",2011-02-22 00:06:14,4.119,6.4522
"403","Canterbury","2011",2011-02-22 00:05:36,4.593,5
"404","Canterbury","2011",2011-02-22 00:04:19,5.5,5.7503
"405","Canterbury","2011",2011-02-21 23:59:36,4.127,4.9672
"406","Canterbury","2011",2011-02-21 23:57:30,4.245,26.2783
"407","Canterbury","2011",2011-02-21 23:56:54,4.863,5
"408","Canterbury","2011",2011-02-21 23:56:04,4.41,5
"409","Canterbury","2011",2011-02-21 23:55:53,4.222,5
"410","Canterbury","2011",2011-02-21 23:54:45,4.168,6.6574
"411","Canterbury","2011",2011-02-21 23:54:27,4.538,5
"412","Canterbury","2011",2011-02-21 23:53:32,4.801,7.1079
